GujaratiRiddle_saralgujarati_1	એક જનાવર ઈતું પૂંછડે પાણી પીતું	દીવો
GujaratiRiddle_saralgujarati_2	નાની નાની ઓરડી માં બત્રીસ બાવા	દાંત
GujaratiRiddle_saralgujarati_3	એક લાકડીની સાંભળો કહાણી, તેમાં ભરેલું છે મીઠું પાણી	શેરડી
GujaratiRiddle_saralgujarati_4	વીસ વીસનાં ઉતારી લીધા શીશ, ના વહ્યું લોહી, ના ચઢી રીસ.	નખ
GujaratiRiddle_saralgujarati_5	ના જીવ, ના ખાય, ના પીએ, રહે ‘મૂળ’ ત્યાં લગી જીવે, અંધારાથી એ બહુ ડરે, જોતાં જ છુપે નિજ ઘરે.	પડછાયો
GujaratiRiddle_saralgujarati_6	ઘર એક, રહેનારા બે, સવારે-સાંજે ઝઘડે એ, રહે ના ખાલી ઘર કદી. તો કહો એનું નામ જલદી.	પ્રકાશ
GujaratiRiddle_saralgujarati_7	અંધકારઊંચું છે એક પ્રાણી, એની પીઠ છે ત્રિકોણી, છે રણનું જહાજ-ગાડી, એને જોઈએ થોડુંક પાણી.	ઊંટ
GujaratiRiddle_saralgujarati_8	આમ જાઉં તેમ જાઉં જ્યાં જાઉં ત્યાં પાછળ સંતાવું	પડછાયો
GujaratiRiddle_saralgujarati_10	ધોળા ખેતરમાં કાળા દાણા	અક્ષરો
GujaratiRiddle_saralgujarati_11	ચારે બાજુ ભીંત અને વચ્ચે પાણી	નાળિયેર
GujaratiRiddle_saralgujarati_13	માં ધોળી અને બચ્ચાં કાળા	ઈલાયચી
GujaratiRiddle_saralgujarati_15	રાજા કરે રાજ ન દરજી સીવે કોટ	રાજકોટ
GujaratiRiddle_saralgujarati_16	રાજા જામે વસાવ્યું નગર	જામનગર
GujaratiRiddle_saralgujarati_17	એવી કઈ વસ્તુ છે જેને પાંખ નથી તો પણ ઉડે છે?	પતંગ
GujaratiRiddle_saralgujarati_18	એવી કઈ શાકભાજી છે જેમાં તાળું અને ચાવી બંને આવે છે?	લોકી (દૂધી)
GujaratiRiddle_saralgujarati_19	એવું તો કોણ છે જે તમારા નાક પર બેસીને તમારા કાન ને પકડે છે?	ચશ્માં
GujaratiRiddle_saralgujarati_20	લીલું ઝાડ, પીળું મકાન તેમાં બેઠા કલ્લુરામ	પપૈયું
GujaratiRiddle_saralgujarati_21	રાતા રાતા રાતનજી, પેટમાં રાખે પણાં, વળી ગામે ગામે થાય, એને ખાય રંક ને રાણા!!	બોર
